company_exchange_name,company_id,company_industry_name,company_industry_sector,company_is_delisted,company_name,company_sic_industry,company_sic_sector,company_ticket,company_time_stamp
NASDAQ,205,Banks - Regional,Financial Services,True,CODORUS VALLEY BANCORP INC,Savings Institution Federally Chartered,Finance Insurance And Real Estate,CVLY,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,206,Rental & Leasing Services,Industrials,False,ESHALLGO INC,Services-Equipment Rental & Leasing Nec,Services,EHGO,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,207,Shell Companies,Industrials,False,EUREKA ACQUISITION CORP,Blank Checks,Finance Insurance And Real Estate,EURKU,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,208,Banks - Regional,Financial Services,True,FNCB BANCORP INC,National Commercial Banks,Finance Insurance And Real Estate,FNCB,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,209,Asset Management,Financial Services,True,SLR SENIOR INVESTMENT CORP,Investors Nec,Finance Insurance And Real Estate,SUNS1,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,210,Shell Companies,Industrials,True,BLUE WORLD ACQUISITION CORP,Blank Checks,Finance Insurance And Real Estate,BWAQR,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,211,Shell Companies,Industrials,True,BLUE WORLD ACQUISITION CORP,Blank Checks,Finance Insurance And Real Estate,BWAQU,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,212,Shell Companies,Industrials,True,BLUE WORLD ACQUISITION CORP,Blank Checks,Finance Insurance And Real Estate,BWAQW,"Thu, 04 Jul 2024 23:03:01 GMT"
NYSE,213,Leisure,Consumer Cyclical,True,SIX FLAGS ENTERTAINMENT CORP,Services-Miscellaneous Amusement & Recreation,Services,SIX,"Thu, 04 Jul 2024 23:03:01 GMT"
NASDAQ,214,Health Information Services,Healthcare,True,AKILI INC,Surgical & Medical Instruments & Apparatus,Manufacturing,AKLI,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,215,Entertainment,Communication Services,True,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,Services-Allied To Motion Picture Production,Services,CSSEQ,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,216,Biotechnology,Healthcare,True,EFFECTOR THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,EFTR,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,217,Electrical Equipment & Parts,Industrials,True,ENCORE WIRE CORP,Rolling Drawing & Extruding Of Nonferrous Metals,Manufacturing,WIRE,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,218,Entertainment,Communication Services,True,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,Services-Allied To Motion Picture Production,Services,CSSEP,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,219,Biotechnology,Healthcare,True,EFFECTOR THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,EFTRW,"Fri, 05 Jul 2024 14:34:22 GMT"
NASDAQ,220,Health Information Services,Healthcare,True,AKILI INC,Surgical & Medical Instruments & Apparatus,Manufacturing,AKLI,"Fri, 05 Jul 2024 14:35:06 GMT"
NASDAQ,221,Entertainment,Communication Services,True,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,Services-Allied To Motion Picture Production,Services,CSSEQ,"Fri, 05 Jul 2024 14:35:06 GMT"
NASDAQ,222,Biotechnology,Healthcare,True,EFFECTOR THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,EFTR,"Fri, 05 Jul 2024 14:35:06 GMT"
NASDAQ,223,Electrical Equipment & Parts,Industrials,True,ENCORE WIRE CORP,Rolling Drawing & Extruding Of Nonferrous Metals,Manufacturing,WIRE,"Fri, 05 Jul 2024 14:35:06 GMT"
NASDAQ,224,Entertainment,Communication Services,True,CHICKEN SOUP FOR THE SOUL ENTERTAINMENT INC,Services-Allied To Motion Picture Production,Services,CSSEP,"Fri, 05 Jul 2024 14:35:06 GMT"
NASDAQ,225,Biotechnology,Healthcare,True,EFFECTOR THERAPEUTICS INC,Pharmaceutical Preparations,Manufacturing,EFTRW,"Fri, 05 Jul 2024 14:35:06 GMT"
